,lenght,type_of_gene
ENSG00000273369,,unknown
ENSG00000229717,,unknown
ENSG00000249417,,unknown
ENSG00000214132,,unknown
ENSG00000224785,,unknown
ENSG00000198663,57094.0,protein-coding
ENSG00000265623,,microRNA
ENSG00000007520,2671.0,protein-coding
ENSG00000239932,,unknown
ENSG00000220748,,unknown
ENSG00000254468,,unknown
ENSG00000258703,,unknown
ENSG00000243716,57400.0,protein-coding
ENSG00000263823,,unknown
ENSG00000167346,287502.0,protein-coding
ENSG00000281768,,unknown
ENSG00000277919,,microRNA
ENSG00000266206,,microRNA
ENSG00000130653,90581.0,protein-coding
ENSG00000234771,,unknown
ENSG00000049541,22959.0,protein-coding
ENSG00000197312,51544.0,protein-coding
ENSG00000207412,,unknown
ENSG00000273066,,unknown
ENSG00000266185,,unknown
ENSG00000160808,24297.0,protein-coding
ENSG00000244346,,unknown
ENSG00000238941,,unknown
ENSG00000234203,,unknown
ENSG00000267778,,unknown
ENSG00000233002,,unknown
ENSG00000272814,,unknown
ENSG00000243455,,unknown
ENSG00000279644,,unknown
ENSG00000259376,,unknown
ENSG00000234716,,unknown
ENSG00000239014,,snoRNA
ENSG00000263908,,microRNA
ENSG00000237764,,ncRNA
ENSG00000258806,944.0,protein-coding
ENSG00000199872,,unknown
ENSG00000267305,,unknown
ENSG00000188021,4229.0,protein-coding
ENSG00000264142,,unknown
ENSG00000263972,,microRNA
ENSG00000213939,,unknown
ENSG00000177483,44419.0,protein-coding
ENSG00000147596,20042.0,protein-coding
ENSG00000240053,3609.0,protein-coding
ENSG00000207578,,microRNA
ENSG00000233183,,unknown
ENSG00000249407,,unknown
ENSG00000202395,,unknown
ENSG00000251447,,unknown
ENSG00000132967,,unknown
ENSG00000200340,,unknown
ENSG00000164929,89595.0,protein-coding
ENSG00000278621,,unknown
ENSG00000177736,,unknown
ENSG00000107669,188380.0,protein-coding
ENSG00000224582,,intergenic
ENSG00000275026,,unknown
ENSG00000249973,,unknown
ENSG00000242456,,unknown
ENSG00000222007,,unknown
ENSG00000131725,103888.0,protein-coding
ENSG00000076108,41220.0,protein-coding
ENSG00000170835,9883.0,protein-coding
ENSG00000280051,,unknown
ENSG00000114374,159608.0,protein-coding
ENSG00000175213,5094.0,protein-coding
ENSG00000204711,85439.0,protein-coding
ENSG00000226396,,unknown
ENSG00000231300,,unknown
ENSG00000258987,,unknown
ENSG00000255385,,unknown
ENSG00000187266,7137.0,protein-coding
ENSG00000197110,1576.0,protein-coding
ENSG00000234764,,unknown
ENSG00000114745,11704.0,protein-coding
ENSG00000278849,,pseudo
ENSG00000253692,,unknown
ENSG00000083828,50284.0,protein-coding
ENSG00000227698,,unknown
ENSG00000148834,32103.0,protein-coding
ENSG00000224205,,unknown
ENSG00000115486,16824.0,protein-coding
ENSG00000139629,41620.0,protein-coding
ENSG00000280734,,unknown
ENSG00000255057,,unknown
ENSG00000186008,,unknown
ENSG00000241810,,unknown
ENSG00000227170,,unknown
ENSG00000242941,,unknown
ENSG00000197587,7230.0,protein-coding
ENSG00000229454,,unknown
ENSG00000273056,,unknown
ENSG00000201140,,unknown
ENSG00000099949,17025.0,protein-coding
ENSG00000131931,6651.0,protein-coding
ENSG00000117174,59010.0,protein-coding
ENSG00000258637,,unknown
ENSG00000255440,,unknown
ENSG00000150990,42297.0,protein-coding
ENSG00000111670,85441.0,protein-coding
ENSG00000187912,28073.0,protein-coding
ENSG00000069702,225992.0,protein-coding
ENSG00000147570,78966.0,protein-coding
ENSG00000273377,,unknown
ENSG00000137166,55958.0,protein-coding
ENSG00000243961,,unknown
ENSG00000278880,,unknown
ENSG00000251969,,unknown
ENSG00000199530,,unknown
ENSG00000261447,,unknown
ENSG00000272719,,unknown
ENSG00000042317,85426.0,protein-coding
ENSG00000137875,3512.0,protein-coding
ENSG00000168502,127117.0,protein-coding
ENSG00000183291,51979.0,protein-coding
ENSG00000239988,,unknown
ENSG00000211592,,unknown
ENSG00000276990,,unknown
ENSG00000159455,1278.0,protein-coding
ENSG00000273367,,unknown
ENSG00000137270,21865.0,protein-coding
ENSG00000249419,,ncRNA
ENSG00000171483,,unknown
ENSG00000231940,,unknown
ENSG00000232953,,unknown
ENSG00000234396,,unknown
ENSG00000175857,5655.0,protein-coding
ENSG00000260858,,unknown
ENSG00000235539,,unknown
ENSG00000181296,,unknown
ENSG00000266315,,microRNA
ENSG00000182712,9740.0,protein-coding
ENSG00000200806,,unknown
ENSG00000241413,,unknown
ENSG00000204271,177529.0,protein-coding
ENSG00000089558,24387.0,protein-coding
ENSG00000168122,,unknown
ENSG00000254111,,unknown
ENSG00000276257,,unknown
ENSG00000281492,,unknown
ENSG00000272028,,unknown
ENSG00000266722,,unknown
ENSG00000227493,,unknown
ENSG00000008405,102465.0,protein-coding
ENSG00000273068,,unknown
ENSG00000232205,,unknown
ENSG00000257896,,unknown
ENSG00000187979,,unknown
ENSG00000182628,45318.0,protein-coding
ENSG00000165246,323077.0,protein-coding
ENSG00000221060,,unknown
ENSG00000232714,,unknown
ENSG00000053501,4483.0,protein-coding
ENSG00000008324,13274.0,protein-coding
ENSG00000018699,193019.0,protein-coding
ENSG00000259378,,unknown
ENSG00000258464,,unknown
ENSG00000203908,1494.0,protein-coding
ENSG00000183779,4270.0,protein-coding
ENSG00000239149,,snoRNA
ENSG00000241778,,unknown
ENSG00000185404,76548.0,protein-coding
ENSG00000260706,,unknown
ENSG00000266078,,microRNA
ENSG00000131503,138042.0,protein-coding
ENSG00000225610,,unknown
ENSG00000231841,,unknown
ENSG00000275942,,unknown
ENSG00000125149,38581.0,protein-coding
ENSG00000255769,,unknown
ENSG00000232186,,unknown
ENSG00000122786,226476.0,protein-coding
ENSG00000170803,,unknown
ENSG00000257296,,unknown
ENSG00000260277,,unknown
ENSG00000250244,,unknown
ENSG00000266505,,unknown
ENSG00000267637,,unknown
ENSG00000130340,244690.0,protein-coding
ENSG00000278366,,unknown
ENSG00000259104,,unknown
ENSG00000280389,,unknown
ENSG00000270098,,unknown
ENSG00000244588,70365.0,protein-coding
ENSG00000176381,3148.0,protein-coding
ENSG00000139292,146540.0,protein-coding
ENSG00000271914,,unknown
ENSG00000257959,,unknown
ENSG00000241985,,unknown
ENSG00000171388,9678.0,protein-coding
ENSG00000275876,,unknown
ENSG00000099875,13779.0,protein-coding
ENSG00000126091,225341.0,protein-coding
ENSG00000196230,5225.0,protein-coding
ENSG00000231384,,unknown
ENSG00000271198,,unknown
ENSG00000157388,484770.0,protein-coding
ENSG00000274322,,unknown
ENSG00000235518,,unknown
ENSG00000267744,,unknown
ENSG00000249253,,unknown
ENSG00000176095,62248.0,protein-coding
ENSG00000258412,,unknown
ENSG00000146833,42642.0,protein-coding
ENSG00000236202,,antisense
ENSG00000266825,,unknown
ENSG00000199204,,unknown
ENSG00000275840,,unknown
ENSG00000201620,,unknown
ENSG00000279334,,unknown
ENSG00000280671,,unknown
ENSG00000248338,,unknown
ENSG00000167612,3704.0,protein-coding
ENSG00000235756,,unknown
ENSG00000279206,,unknown
ENSG00000162419,50621.0,protein-coding
ENSG00000165443,71184.0,protein-coding
ENSG00000228974,,unknown
ENSG00000251730,,unknown
ENSG00000228683,,unknown
ENSG00000224550,,unknown
ENSG00000111305,20123.0,protein-coding
ENSG00000256847,,unknown
ENSG00000270647,150824.0,protein-coding
ENSG00000264911,,unknown
ENSG00000281302,,unknown
ENSG00000163597,,ncRNA
ENSG00000241868,,unknown
ENSG00000266685,,unknown
ENSG00000232867,,unknown
ENSG00000250124,,unknown
ENSG00000199187,,unknown
ENSG00000137274,35204.0,protein-coding
ENSG00000164729,2003.0,protein-coding
ENSG00000272971,,unknown
ENSG00000200495,,unknown
ENSG00000233295,,unknown
ENSG00000050344,34885.0,protein-coding
ENSG00000164309,110363.0,protein-coding
ENSG00000175575,54425.0,protein-coding
ENSG00000184949,78509.0,protein-coding
ENSG00000113643,32854.0,protein-coding
ENSG00000231427,,intergenic
ENSG00000122490,49244.0,protein-coding
ENSG00000265023,,unknown
ENSG00000271748,,unknown
ENSG00000207639,,microRNA
ENSG00000254537,,unknown
ENSG00000273723,,unknown
ENSG00000120860,49222.0,protein-coding
ENSG00000148248,14717.0,protein-coding
ENSG00000260571,,unknown
ENSG00000261120,,unknown
ENSG00000117408,21083.0,protein-coding
ENSG00000088832,24194.0,protein-coding
ENSG00000277115,,unknown
ENSG00000205105,,unknown
ENSG00000136699,31358.0,protein-coding
ENSG00000186891,3183.0,protein-coding
ENSG00000257465,,unknown
ENSG00000121211,70469.0,protein-coding
ENSG00000173744,89062.0,protein-coding
ENSG00000181499,1088.0,protein-coding
ENSG00000117713,88874.0,protein-coding
ENSG00000222610,,unknown
ENSG00000278505,16722.0,protein-coding
ENSG00000196431,8708.0,protein-coding
ENSG00000119878,9326.0,protein-coding
ENSG00000257258,,unknown
ENSG00000215837,,unknown
ENSG00000207625,,microRNA
ENSG00000166965,8255.0,protein-coding
ENSG00000127483,44662.0,protein-coding
ENSG00000080224,937879.0,protein-coding
ENSG00000261632,,unknown
ENSG00000260564,,unknown
ENSG00000187103,,unknown
ENSG00000220992,,unknown
ENSG00000219274,,unknown
ENSG00000260022,,unknown
ENSG00000253234,,unknown
ENSG00000277353,,unknown
ENSG00000238609,,unknown
ENSG00000227225,,unknown
ENSG00000243989,5924.0,protein-coding
ENSG00000137707,44828.0,protein-coding
ENSG00000270934,,unknown
ENSG00000152463,41625.0,protein-coding
ENSG00000221474,,unknown
ENSG00000254892,,unknown
ENSG00000198785,169227.0,protein-coding
ENSG00000254847,,unknown
ENSG00000184207,2810.0,protein-coding
ENSG00000250156,,intergenic
ENSG00000225406,,unknown
ENSG00000261822,,unknown
ENSG00000246308,,ncRNA
ENSG00000215914,,unknown
ENSG00000281572,,unknown
ENSG00000276413,,unknown
ENSG00000281717,,unknown
ENSG00000127481,135770.0,protein-coding
ENSG00000213090,,unknown
ENSG00000148832,12460.0,protein-coding
ENSG00000253547,,unknown
ENSG00000265863,,unknown
ENSG00000201867,,unknown
ENSG00000248854,,unknown
ENSG00000257582,,intergenic
ENSG00000225438,,unknown
ENSG00000225381,,unknown
ENSG00000201962,,unknown
ENSG00000148842,171928.0,protein-coding
ENSG00000279111,980.0,protein-coding
ENSG00000252341,,unknown
ENSG00000271503,9302.0,protein-coding
ENSG00000238102,,unknown
ENSG00000222750,,unknown
ENSG00000253486,,unknown
ENSG00000275713,2059.0,protein-coding
ENSG00000143498,32031.0,protein-coding
ENSG00000201944,,unknown
ENSG00000258652,,unknown
ENSG00000240511,,unknown
ENSG00000278184,,unknown
ENSG00000202060,,unknown
ENSG00000253301,,unknown
ENSG00000234444,47401.0,protein-coding
ENSG00000277640,,unknown
ENSG00000281729,,unknown
ENSG00000261569,,unknown
ENSG00000265564,,unknown
ENSG00000160207,130301.0,protein-coding
ENSG00000280560,,intergenic
ENSG00000212719,,ncRNA
ENSG00000237517,,unknown
ENSG00000243124,,unknown
ENSG00000212057,,unknown
ENSG00000253330,,unknown
ENSG00000281318,,unknown
ENSG00000236842,,unknown
ENSG00000246263,,antisense
ENSG00000147432,40031.0,protein-coding
ENSG00000270493,,unknown
ENSG00000274547,,unknown
ENSG00000265491,85209.0,protein-coding
ENSG00000280958,,unknown
ENSG00000237684,,unknown
ENSG00000252067,,unknown
ENSG00000161652,10647.0,protein-coding
ENSG00000270632,,unknown
ENSG00000221444,,unknown
ENSG00000258896,,unknown
ENSG00000186918,57116.0,protein-coding
ENSG00000213539,,unknown
ENSG00000276675,,unknown
ENSG00000215923,,unknown
ENSG00000254592,,unknown
ENSG00000176232,,unknown
ENSG00000075429,50369.0,protein-coding
ENSG00000224855,,antisense
ENSG00000229957,,unknown
ENSG00000204989,,unknown
ENSG00000235926,,unknown
ENSG00000261319,,unknown
ENSG00000276136,,unknown
ENSG00000197497,34173.0,protein-coding
ENSG00000212156,,unknown
ENSG00000231324,,unknown
ENSG00000260125,,antisense
ENSG00000258573,,ncRNA
ENSG00000160799,60284.0,protein-coding
ENSG00000264511,,microRNA
ENSG00000251257,,unknown
ENSG00000224871,,unknown
ENSG00000236953,,unknown
ENSG00000280200,,unknown
ENSG00000252764,,unknown
ENSG00000265689,,unknown
ENSG00000280727,,unknown
ENSG00000261747,,unknown
ENSG00000254700,,unknown
ENSG00000277774,,unknown
ENSG00000249883,,unknown
ENSG00000183977,32369.0,protein-coding
ENSG00000237283,,unknown
ENSG00000122642,49527.0,protein-coding
ENSG00000198964,319577.0,protein-coding
ENSG00000163736,1159.0,protein-coding
ENSG00000235227,,unknown
ENSG00000279652,,unknown
ENSG00000135100,23969.0,protein-coding
ENSG00000223822,,unknown
ENSG00000235333,,unknown
ENSG00000215553,,unknown
ENSG00000162607,15507.0,protein-coding
ENSG00000248987,,unknown
ENSG00000248874,,ncRNA
ENSG00000275892,,unknown
ENSG00000207411,,unknown
ENSG00000087116,234579.0,protein-coding
ENSG00000265972,4165.0,protein-coding
ENSG00000187773,23845.0,protein-coding
ENSG00000170365,76885.0,protein-coding
ENSG00000222966,,unknown
ENSG00000237302,,unknown
ENSG00000277914,,unknown
ENSG00000229014,,unknown
ENSG00000280979,,unknown
ENSG00000234888,,unknown
ENSG00000234319,,unknown
ENSG00000225563,,unknown
ENSG00000207197,,snoRNA
ENSG00000229891,,intergenic
ENSG00000196081,28791.0,protein-coding
ENSG00000235334,,unknown
ENSG00000250536,,unknown
ENSG00000253523,,unknown
ENSG00000120833,13673.0,protein-coding
ENSG00000228627,,unknown
ENSG00000177201,13285.0,protein-coding
ENSG00000254516,,ncRNA
ENSG00000207187,,snoRNA
ENSG00000140534,55574.0,protein-coding
ENSG00000260599,,ncRNA
ENSG00000267920,,unknown
ENSG00000160446,3258.0,protein-coding
ENSG00000221606,,unknown
ENSG00000254025,,unknown
ENSG00000237293,,unknown
ENSG00000244621,,unknown
ENSG00000182154,1356.0,protein-coding
ENSG00000275926,,unknown
ENSG00000262621,,unknown
ENSG00000128917,9740.0,protein-coding
ENSG00000274628,,ncRNA
ENSG00000262810,,unknown
ENSG00000168101,2165.0,protein-coding
ENSG00000248152,,unknown
ENSG00000252794,,unknown
ENSG00000276128,,unknown
ENSG00000264802,,microRNA
ENSG00000236431,,unknown
ENSG00000215037,,unknown
ENSG00000123146,28224.0,protein-coding
ENSG00000241535,,unknown
ENSG00000278594,,unknown
ENSG00000252673,,unknown
ENSG00000241293,,unknown
ENSG00000236792,,unknown
ENSG00000010932,37507.0,protein-coding
ENSG00000123106,448262.0,protein-coding
ENSG00000240432,703.0,protein-coding
ENSG00000228271,,unknown
ENSG00000280164,,unknown
ENSG00000261397,,intergenic
ENSG00000264298,,unknown
ENSG00000279977,,unknown
ENSG00000280212,,unknown
ENSG00000253817,,unknown
ENSG00000233395,,unknown
ENSG00000172508,10639.0,protein-coding
ENSG00000258797,,unknown
ENSG00000252069,,unknown
ENSG00000207033,,unknown
ENSG00000238225,,unknown
ENSG00000258751,,unknown
ENSG00000111181,24493.0,protein-coding
ENSG00000223136,,unknown
ENSG00000197147,73028.0,protein-coding
ENSG00000265585,,unknown
ENSG00000269053,,unknown
ENSG00000263613,,unknown
ENSG00000253244,,unknown
ENSG00000258874,,unknown
ENSG00000172155,1430.0,protein-coding
ENSG00000160075,33196.0,protein-coding
ENSG00000260161,,unknown
ENSG00000186471,24879.0,protein-coding
ENSG00000237957,3322.0,protein-coding
ENSG00000224124,,unknown
ENSG00000206703,,unknown
ENSG00000223764,,intergenic
ENSG00000264702,,unknown
ENSG00000251598,,unknown
ENSG00000248457,,unknown
ENSG00000268747,,unknown
ENSG00000228810,,unknown
ENSG00000232950,,unknown
ENSG00000277103,,unknown
ENSG00000230782,,ncRNA
ENSG00000238934,,unknown
ENSG00000229556,,unknown
ENSG00000228140,,unknown
ENSG00000231211,,unknown
ENSG00000169026,7612.0,protein-coding
ENSG00000261307,,unknown
ENSG00000265422,,microRNA
ENSG00000230928,,unknown
ENSG00000264151,,ncRNA
ENSG00000280071,49131.0,protein-coding
ENSG00000105771,26998.0,protein-coding
ENSG00000171402,5543.0,protein-coding
ENSG00000206764,,unknown
ENSG00000252526,,unknown
ENSG00000268629,1745.0,protein-coding
ENSG00000277455,,unknown
ENSG00000037965,3256.0,protein-coding
ENSG00000259929,,ncRNA
ENSG00000199784,,unknown
ENSG00000224116,,antisense
ENSG00000279617,,unknown
ENSG00000118420,173443.0,protein-coding
ENSG00000105388,21213.0,protein-coding
ENSG00000234385,,unknown
ENSG00000171298,18323.0,protein-coding
ENSG00000263835,,unknown
ENSG00000207023,,unknown
ENSG00000251412,,unknown
ENSG00000234571,,unknown
ENSG00000077420,129600.0,protein-coding
ENSG00000243503,,unknown
ENSG00000186310,2638.0,protein-coding
ENSG00000162763,19954.0,protein-coding
ENSG00000246323,,unknown
ENSG00000206712,,unknown
ENSG00000274591,,unknown
ENSG00000068305,151049.0,protein-coding
ENSG00000234886,,unknown
ENSG00000264317,,unknown
ENSG00000225613,,unknown
ENSG00000244270,,unknown
ENSG00000166363,1053.0,protein-coding
ENSG00000272009,,ncRNA
ENSG00000237797,,unknown
ENSG00000200179,,unknown
ENSG00000143862,11339.0,protein-coding
ENSG00000223650,,unknown
ENSG00000204588,,intergenic
ENSG00000070718,18727.0,protein-coding
ENSG00000216055,,unknown
ENSG00000128040,11882.0,protein-coding
ENSG00000170915,46356.0,protein-coding
ENSG00000241213,,intergenic
ENSG00000221531,,unknown
ENSG00000146122,112579.0,protein-coding
ENSG00000255145,,antisense
ENSG00000238942,,unknown
ENSG00000264617,,unknown
ENSG00000115596,14412.0,protein-coding
ENSG00000239701,,unknown
ENSG00000126746,23095.0,protein-coding
ENSG00000117592,11541.0,protein-coding
ENSG00000114686,40771.0,protein-coding
ENSG00000188493,10697.0,protein-coding
ENSG00000169375,86463.0,protein-coding
ENSG00000140990,2467.0,protein-coding
ENSG00000214652,33106.0,protein-coding
ENSG00000264791,,unknown
ENSG00000264621,,microRNA
ENSG00000187664,7155.0,protein-coding
ENSG00000226509,,unknown
ENSG00000254099,,unknown
ENSG00000164742,148976.0,protein-coding
ENSG00000185127,2666.0,protein-coding
ENSG00000229559,,unknown
ENSG00000214743,,unknown
ENSG00000114251,24824.0,protein-coding
ENSG00000214668,,unknown
ENSG00000174957,938.0,protein-coding
ENSG00000249837,,unknown
ENSG00000144935,83814.0,protein-coding
ENSG00000280127,,unknown
ENSG00000162738,28092.0,protein-coding
ENSG00000233740,,unknown
ENSG00000278448,,unknown
ENSG00000164776,12713.0,protein-coding
ENSG00000266826,,unknown
ENSG00000171823,28172.0,protein-coding
ENSG00000200428,,unknown
ENSG00000154127,158798.0,protein-coding
ENSG00000128534,8792.0,protein-coding
ENSG00000230829,,unknown
ENSG00000224272,,unknown
ENSG00000235159,,unknown
ENSG00000119411,21692.0,protein-coding
ENSG00000279205,,unknown
ENSG00000145358,4912.0,protein-coding
ENSG00000264604,,unknown
ENSG00000261232,,unknown
ENSG00000279891,,ncRNA
ENSG00000253141,,unknown
ENSG00000179611,,unknown
ENSG00000199815,,unknown
ENSG00000224553,,unknown
ENSG00000279882,,unknown
ENSG00000179997,,unknown
ENSG00000112077,31726.0,protein-coding
ENSG00000212219,,unknown
ENSG00000164740,,unknown
ENSG00000258829,,unknown
ENSG00000174788,2137.0,protein-coding
ENSG00000083750,41035.0,protein-coding
ENSG00000242653,,unknown
ENSG00000149243,8235.0,protein-coding
ENSG00000115020,92484.0,protein-coding
ENSG00000275835,56481.0,protein-coding
ENSG00000228478,,unknown
ENSG00000276941,,microRNA
ENSG00000202414,,unknown
ENSG00000107105,136233.0,protein-coding
ENSG00000260695,,unknown
ENSG00000143337,42958.0,protein-coding
ENSG00000207837,,microRNA
ENSG00000281239,,unknown
ENSG00000227078,,unknown
ENSG00000081320,42937.0,protein-coding
ENSG00000164508,395.0,protein-coding
ENSG00000248929,,unknown
ENSG00000276738,,unknown
ENSG00000258971,,unknown
ENSG00000243920,,unknown
ENSG00000266120,,unknown
ENSG00000134376,210251.0,protein-coding
ENSG00000263214,,unknown
ENSG00000228937,,unknown
ENSG00000272688,,unknown
ENSG00000280894,,snoRNA
ENSG00000277712,,unknown
ENSG00000207827,,microRNA
ENSG00000258379,,unknown
ENSG00000136381,64025.0,protein-coding
ENSG00000069431,145128.0,protein-coding
ENSG00000228903,,unknown
ENSG00000206625,,snRNA
ENSG00000251237,,unknown
ENSG00000262714,,unknown
ENSG00000233755,,unknown
ENSG00000197123,38457.0,protein-coding
ENSG00000240056,,unknown
ENSG00000138138,89831.0,protein-coding
ENSG00000256496,,unknown
ENSG00000235759,,unknown
ENSG00000119396,44877.0,protein-coding
ENSG00000272676,,unknown
ENSG00000211959,,unknown
ENSG00000228927,2802.0,protein-coding
ENSG00000250801,,unknown
ENSG00000274347,,unknown
ENSG00000260921,,unknown
ENSG00000254519,,unknown
ENSG00000170653,118554.0,protein-coding
ENSG00000251747,,unknown
ENSG00000264419,,microRNA
ENSG00000141098,44890.0,protein-coding
ENSG00000146001,,pseudo
ENSG00000181827,155986.0,protein-coding
ENSG00000174326,2293.0,protein-coding
ENSG00000154654,545014.0,protein-coding
ENSG00000103710,23353.0,protein-coding
ENSG00000264405,,microRNA
ENSG00000233915,,unknown
ENSG00000198555,,unknown
ENSG00000169371,28386.0,protein-coding
ENSG00000076604,6974.0,protein-coding
ENSG00000242978,,unknown
ENSG00000115598,53029.0,protein-coding
ENSG00000183036,62080.0,protein-coding
ENSG00000240484,,unknown
ENSG00000061492,8473.0,protein-coding
ENSG00000124459,22649.0,protein-coding
ENSG00000182108,13569.0,protein-coding
ENSG00000279970,,unknown
ENSG00000260689,,unknown
ENSG00000216913,,unknown
ENSG00000276653,,unknown
ENSG00000277213,,unknown
ENSG00000168216,191443.0,protein-coding
ENSG00000200278,,unknown
ENSG00000273284,,unknown
ENSG00000214283,,unknown
ENSG00000173894,9851.0,protein-coding
ENSG00000273218,,unknown
ENSG00000252909,,unknown
ENSG00000100490,87057.0,protein-coding
ENSG00000211945,,unknown
ENSG00000168260,,unknown
ENSG00000162368,45042.0,protein-coding
ENSG00000279838,,unknown
ENSG00000184640,220027.0,protein-coding
ENSG00000211850,,unknown
ENSG00000164778,6702.0,protein-coding
ENSG00000167671,12823.0,protein-coding
ENSG00000250299,,unknown
ENSG00000278002,,unknown
ENSG00000233621,,intergenic
ENSG00000253481,,unknown
ENSG00000273090,,unknown
ENSG00000100280,95499.0,protein-coding
ENSG00000221439,,unknown
ENSG00000280317,,unknown
ENSG00000119608,19069.0,protein-coding
ENSG00000251830,,unknown
ENSG00000236334,3855.0,protein-coding
ENSG00000202063,,unknown
ENSG00000234850,,unknown
ENSG00000258457,,unknown
ENSG00000182601,445662.0,protein-coding
ENSG00000229316,,unknown
ENSG00000254983,,unknown
ENSG00000252879,,unknown
ENSG00000107281,6733.0,protein-coding
ENSG00000178935,11072.0,protein-coding
ENSG00000201700,,snoRNA
ENSGR0000237040,,unknown
ENSG00000231359,,unknown
ENSG00000221357,,unknown
ENSG00000264262,,unknown
ENSG00000249192,,unknown
ENSG00000254572,,unknown
ENSG00000167139,15606.0,protein-coding
ENSG00000132467,2072.0,protein-coding
ENSG00000161179,1975.0,protein-coding
ENSG00000259516,,unknown
ENSG00000234136,,unknown
ENSG00000271353,,unknown
ENSG00000227621,,unknown
ENSG00000269721,,unknown
ENSG00000281371,,ncRNA
ENSG00000232991,,ncRNA
ENSG00000201548,,unknown
ENSG00000259003,,unknown
ENSG00000253923,,unknown
ENSG00000274379,,unknown
ENSG00000254993,,unknown
ENSG00000205989,,unknown
ENSG00000252023,,unknown
ENSG00000224815,,unknown
ENSG00000229954,,unknown
ENSG00000265175,,unknown
ENSG00000172175,83091.0,protein-coding
ENSG00000259531,,unknown
ENSG00000255529,76133.0,protein-coding
ENSG00000207049,,unknown
ENSG00000203334,,unknown
ENSG00000117899,43589.0,protein-coding
ENSG00000136522,16369.0,protein-coding
ENSG00000243620,,unknown
ENSG00000173769,90212.0,protein-coding
ENSG00000158089,244735.0,protein-coding
ENSG00000263337,,unknown
ENSG00000207382,,unknown
ENSG00000206149,,pseudo
ENSG00000160352,43111.0,protein-coding
ENSG00000130598,2691.0,protein-coding
ENSG00000183454,429350.0,protein-coding
ENSG00000233105,,unknown
ENSG00000225475,,unknown
ENSG00000205808,2943.0,protein-coding
ENSG00000237913,,unknown
ENSG00000206417,,unknown
ENSG00000269807,,unknown
ENSG00000111666,47193.0,protein-coding
ENSG00000150628,11033.0,protein-coding
ENSG00000198331,17034.0,protein-coding
ENSG00000243488,,unknown
ENSG00000185246,32183.0,protein-coding
ENSG00000261615,,intergenic
ENSG00000117000,79548.0,protein-coding
ENSG00000251624,,unknown
ENSG00000177879,72600.0,protein-coding
ENSG00000267102,,unknown
ENSG00000265370,,microRNA
ENSG00000226930,,unknown
ENSG00000187837,641.0,protein-coding
ENSG00000254758,,unknown
ENSG00000233901,,intergenic
ENSG00000200895,,unknown
ENSG00000251656,,unknown
ENSG00000255468,,ncRNA
ENSG00000115661,4882.0,protein-coding
ENSG00000226197,,unknown
ENSG00000238117,,unknown
ENSG00000199920,,unknown
ENSG00000184961,,unknown
ENSG00000233213,,unknown
ENSG00000126453,8774.0,protein-coding
ENSG00000133816,265136.0,protein-coding
ENSG00000144834,15223.0,protein-coding
ENSG00000254325,,unknown
ENSG00000279140,,unknown
ENSG00000253578,,unknown
ENSG00000140538,397017.0,protein-coding
ENSG00000268461,,unknown
ENSG00000105193,2741.0,protein-coding
ENSG00000227660,,unknown
ENSG00000260847,,unknown
ENSG00000211638,,unknown
ENSG00000278290,,unknown
ENSG00000181634,21491.0,protein-coding
ENSG00000224800,,unknown
ENSG00000259750,,unknown
ENSG00000266498,,unknown
ENSG00000125144,1334.0,protein-coding
ENSG00000159398,109877.0,protein-coding
ENSG00000279463,,unknown
ENSG00000129355,2597.0,protein-coding
ENSG00000231371,,unknown
ENSG00000281508,,unknown
ENSG00000280834,,unknown
ENSG00000051382,182239.0,protein-coding
ENSG00000268520,,unknown
ENSG00000238653,,unknown
ENSG00000236597,,unknown
ENSG00000197629,4441.0,protein-coding
ENSG00000261609,75937.0,protein-coding
ENSG00000121897,26522.0,protein-coding
ENSG00000268618,,unknown
ENSG00000261873,,unknown
ENSG00000159189,4480.0,protein-coding
ENSG00000260088,,ncRNA
ENSG00000280319,,unknown
ENSG00000128626,2614.0,protein-coding
ENSG00000243927,69810.0,protein-coding
ENSG00000220842,,unknown
ENSG00000213158,,unknown
ENSG00000245146,,unknown
ENSG00000163235,106913.0,protein-coding
ENSG00000251882,,unknown
ENSG00000272166,,unknown
ENSG00000220557,,unknown
ENSG00000134202,7106.0,protein-coding
ENSG00000171488,136831.0,protein-coding
ENSG00000239622,,unknown
ENSG00000228615,,unknown
ENSG00000175003,36929.0,protein-coding
ENSG00000228272,,unknown
ENSG00000235064,,unknown
ENSG00000181195,10060.0,protein-coding
ENSG00000079156,208410.0,protein-coding
ENSG00000263984,,unknown
ENSG00000131495,9045.0,protein-coding
ENSG00000266703,,microRNA
ENSG00000260857,,unknown
ENSG00000198703,,unknown
ENSG00000248569,,unknown
ENSG00000143570,9085.0,protein-coding
ENSG00000260378,,unknown
ENSG00000116514,28240.0,protein-coding
ENSG00000228820,,unknown
ENSG00000258204,,unknown
ENSG00000201351,,unknown
ENSG00000079150,14936.0,protein-coding
ENSG00000238222,,unknown
ENSG00000224775,,unknown
ENSG00000258752,,unknown
ENSG00000254829,,unknown
ENSG00000278050,,unknown
ENSG00000029993,10266.0,protein-coding
ENSG00000257906,,unknown
ENSG00000269553,,unknown
ENSG00000258197,,unknown
ENSG00000226918,,unknown
ENSG00000234263,,unknown
ENSG00000269815,,unknown
ENSG00000116903,5099.0,protein-coding
ENSG00000221294,,unknown
