9884	LRRC37A	leucine rich repeat containing 37A										
493860	CCDC73	coiled-coil domain containing 73										
9729	KIAA0408	KIAA0408										
646174	C16orf90	chromosome 16 open reading frame 90										
283571	PROX2	prospero homeobox 2										
646262	LACTBL1	lactamase, beta-like 1										
256006	ANKRD31	ankyrin repeat domain 31										
284546	C1orf185	chromosome 1 open reading frame 185										
340562	SATL1	spermidine/spermine N1-acetyl transferase-like 1										
148109	FAM187B	family with sequence similarity 187, member B										
401387	LRRD1	leucine-rich repeats and death domain containing 1										
645104	CLRN2	clarin 2										
162540	IMP5	intramembrane protease 5										
283768	GOLGA8G	golgin A8 family, member G										
653125	LOC653125	putative golgin subfamily A member 8I-like										
84077	C3orf20	chromosome 3 open reading frame 20										
375593	TRIM73	tripartite motif containing 73										
283767	GOLGA6L1	golgin A6 family-like 1										
54754	FAM22F	family with sequence similarity 22, member F										
138428	PTRH1	peptidyl-tRNA hydrolase 1 homolog (S. cerevisiae)										
729262	FAM22B	family with sequence similarity 22, member B										
728734	LOC728734	nuclear pore complex-interacting protein-like 2-like										
100271927	RASA4B	RAS p21 protein activator 4B										
389766	C9orf153	chromosome 9 open reading frame 153										
729092	AGAP5	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5										
128861	BPIFA3	BPI fold containing family A, member 3										
100310812	SPDYE2L	WBSCR19-like protein 3										
440243	LOC440243	Putative golgin subfamily A member 6-like protein 6										
392843	IQCA1P1	IQ motif containing with AAA domain 1 pseudogene 1										
140873	C20orf173	chromosome 20 open reading frame 173										
83650	SLC35G5	solute carrier family 35, member G5										
285588	EFCAB9	EF-hand calcium binding domain 9										
400581	GRAPL	GRB2-related adaptor protein-like										
100288814	LOC100288814	uncharacterized protein LOC100288814										
643707	LOC643707	golgi autoantigen, golgin subfamily a, 6 pseudogene										
100133220	GOLGA6L3	golgin A6 family-like 3										
220081	FAM194B	family with sequence similarity 194, member B										
100129969	FAM205CP	transmembrane protein C9orf144B pseudogene										
100132396	LOC100132396	zinc finger protein 705D-like										
100142659	CTAGE8	CTAGE family, member 8										
100288142	LOC100288142	neuroblastoma breakpoint family member										
100302736	TMED7-TICAM2	TMED7-TICAM2 readthrough										
100463285	MTRNR2L4	MT-RNR2-like 4										
100507607	LOC100507607	nuclear pore complex-interacting protein-like 2-like										
100526664	LY75-CD302	LY75-CD302 readthrough										
100526693	ARPC4-TTLL3	ARPC4-TTLL3 readthrough										
100526740	ATP5J2-PTCD1	ATP5J2-PTCD1 readthrough										
100526760	ABHD14A-ACY1	ABHD14A-ACY1 readthrough (non-protein coding)										
100526761	CCDC169-SOHLH2	CCDC169-SOHLH2 readthrough										
100526772	TMEM110-MUSTN1	TMEM110-MUSTN1 readthrough										
100526783	C15orf38-AP3S2	C15orf38-AP3S2 readthrough										
100526835	FPGT-TNNI3K	FPGT-TNNI3K readthrough										
100526842	RPL17-C18ORF32	RPL17-C18orf32 readthrough										
100528021	ST20-MTHFS	ST20-MTHFS readthrough										
100528030	POC1B-GALNT4	POC1B-GALNT4 readthrough										
100529144	CORO7-PAM16	CORO7-PAM16 readthrough										
100529240	ZNF816-ZNF321P	ZNF816-ZNF321P readthrough										
100529241	HSPE1-MOB4	HSPE1-MOB4 readthrough										
100529261	CHURC1-FNTB	CHURC1-FNTB readthrough										
100533496	FAM18B2-CDRT4	FAM18B2-CDRT4 readthrough										
100533952	RBAK-LOC389458	RBAK-LOC389458 readthrough										
100534592	URGCP-MRPS24	URGCP-MRPS24 readthrough										
100631383	FAM47E-STBD1	FAM47E-STBD1 readthrough										
100996631		&nbsp;										
100996928		&nbsp;										
101060301		&nbsp;										
101060321		&nbsp;										
101060351		&nbsp;										
101929926		&nbsp;										
102723502		&nbsp;										
102724594		&nbsp;										
105371242		&nbsp;										
105373251		&nbsp;										
106821730		&nbsp;										
109703458		&nbsp;										
202658	TRIM39-RPP21	TRIM39-RPP21 readthrough										
256369	C14orf48	chromosome 14 open reading frame 48										
